chirp_mass mass_ratio EOS alpha zeta
0.9749905612057974 0.8149886121676514 4699.019738823113 0.0005305082789697788 0.2762846907582975
1.0306914651501624 0.8347054684038138 4472.79820617713 -0.0001723586876346666 0.302218559805284
0.9804676386176909 0.7402236712656403 4467.225135394079 0.00015834840078942462 0.37386108674556123
0.9393103018372511 0.7513324490704336 4164.086323345516 0.0003087183080157171 0.43011950117709663
1.0697022870303847 0.7520911137184332 3979.995399899762 0.00028458443199343207 0.39401722204218625
0.9538017278077645 0.7669284234465751 4731.756368169824 -0.0009045402248855127 0.2811391988958732
1.2219873627229079 0.7921001794620497 3931.2124052664562 -6.658289856701673e-06 0.47563653706321557
1.1223639450861402 0.9337149990218248 4735.208459055324 -0.0003796717028260726 0.6777380901377863
1.1377455655864954 0.876109892563895 3992.4109761024865 -6.626982480167611e-05 0.44376123909598897
1.1553318357671847 0.9233631280327661 4559.094960989182 -0.0002502659154141063 0.8504818686811131
1.2788484357035061 0.9464811390904081 4611.5597281560185 -0.0005026054612301182 0.9729493629925666
1.2225710598989032 0.8592477489636494 4052.517560725519 -0.000573965723044267 0.7162728691421938
1.0570836197337559 0.8983497383214927 4692.154411071005 -0.00025046197435362995 0.38711835953638457
1.045166849050788 0.9726667100900734 4712.503681269691 -0.00030369638603548244 0.40344889986952504
1.218358605395005 0.7870416849403027 4650.512414653181 0.00011509105753491933 0.5646920159217779
1.109262114193626 0.9142036387965458 4521.561282588333 -0.00042097930350330195 0.3829824125914827
0.9976330444135054 0.7412841332298568 4662.3953585188265 0.00016528328096586395 0.36625533992068415
1.2259414067336993 0.9454406664567686 4434.104608424221 0.0001275361871126335 0.5923257538200608
1.146476818813869 0.9011193695495876 4537.6432404860025 9.246868857856889e-05 0.3675882244804786
1.2928949499095124 0.8079481980051677 4864.940767407138 -0.00011676774144312357 0.9741492302391386
1.09126580487109 0.9047592639341925 4906.270496534041 0.00012817827561992064 0.8039897390276253
1.0877273212496634 0.9811172763628099 4538.387970479351 -0.00016401854874967177 0.48788491909915255
1.2128137211204282 0.8186682338400989 4947.778852870488 7.885594590658792e-05 0.7699192617825464
1.109187071259084 0.9652674106501832 4140.858582224413 0.00011450922319623631 0.5134492004601563
1.2803297554323638 0.8701152491392962 4196.490861885381 -1.812611958144603e-05 0.6734074078779748
1.020155960497601 0.8667568269574089 4192.406553911615 0.0002685497605213158 0.5318348183090864
1.1380564048057744 0.8056445740391952 4502.751357581293 0.0004113140986092139 0.5211404933177993
1.2206300024889596 0.7876881350535471 4251.584660033529 -0.00039499154487488856 0.7898028312538011
1.0227805376052856 0.9139430820941925 4833.78775459528 -0.00034450731345182057 0.40566253662109375
1.1357746693321418 0.9904034041377581 4661.251602305978 -0.00045894655398201717 0.41095380714678087
1.2062366594681146 0.9835668090471235 4487.66206040508 -4.6613836683030864e-05 0.743670802412
1.18052257925871 0.7854025462096819 4937.996976506263 0.00021199261886408933 0.8094511082067881
0.9824924170886565 0.8607485688488855 4928.575383675056 -0.000330571934454838 0.42109035231316727
1.056932043674205 0.7491339236844303 4560.768095161453 -2.7167422454264464e-05 0.42503297033554066
1.189615547657013 0.829904317855835 4560.734345018864 -7.63442248114799e-05 0.5403385758399963
1.2670662093924663 0.8062200015872093 4532.410308749521 -0.00021272347767144827 0.7136187556138598
0.866693323511204 0.658105098135358 4304.961039224787 -0.0003394405849351012 0.31896751895415887
1.1529149819845954 0.8657069505526704 4140.848518003373 -0.0005164109085531929 0.7033810948290056
1.1858530064348605 0.8100730575238657 4685.8098529582585 -0.0001377165442714786 0.7477802909846181
1.150697525668108 0.9311108920949086 4899.676768309431 -0.0003698638841913932 0.37089196316116957
0.922705364227295 0.7952153459191322 4836.533693611622 0.0004306058586498529 0.4333829879760742
1.2891274434834274 0.8312210734943658 4598.227446494875 -0.000484737000138172 0.7222689063972497
0.8715244235319459 0.7297203798404356 4269.913874998169 0.00010705176743201026 0.38038171391332676
1.0277272830342472 0.7773206222420359 4450.078509924929 -6.342560622002006e-05 0.37046443815556473
1.2073095264483205 0.8845464378293265 4790.482178128423 1.691617018468442e-05 0.9066561110187502
1.6552994010915651 0.6540358357568159 4083.1691526505488 -0.001333007882316539 0.9633078627413767
1.0189382489702277 0.8461983761759522 4695.370517571164 0.0002053286611431839 0.6298887494126743
1.1633251072309243 0.7947880168657676 4932.631593245492 -0.0004137385866575792 0.7881610621327096
1.4935315499028021 0.6746303885106809 4859.09570091985 -0.0005003826233251088 0.6226560652399213
