timeshift KNphi inclination_EM log10_mej_dyn log10_mej_wind em_syserr luminosity_distance Ebv log_likelihood log_prior
-0.024553451526668102 32.92317369790132 1.3346392915946288 -2.239819250394645 -1.1218009318775817 0.6030927245910607 40.7 0.0 -130.58027494875282 -7.05224501444221
-0.0644251772475326 41.4993507557537 1.0032593324452648 -2.386887632723629 -1.1656677803203728 0.6061902375351246 40.7 0.0 -130.37852799030972 -7.194615272248518
-0.1064359496112135 25.888480902741527 1.387615116832426 -2.09179787814046 -0.9909599872409471 0.5335248834758218 40.7 0.0 -127.05222732480264 -7.04096918444335
-0.09522504417305466 35.9887914175395 1.2882954824329802 -2.263583084130192 -1.0595096176996681 0.6764780352426745 40.7 0.0 -126.78816994470014 -7.064542527649232
0.00010727715021996431 66.98458899327068 0.3914690934093367 -2.4463916631063376 -1.1392242046960344 0.6101118747796289 40.7 0.0 -126.03776322154795 -7.9876186370503195
-0.12962107228094255 35.11170691650135 1.418546816231808 -2.310589208341166 -0.936155646281132 0.6642113272502966 40.7 0.0 -125.00666339397745 -7.035731839363162
-0.018288298694530747 67.91865232216662 0.21877287795712919 -2.316477532740488 -1.1977591149155322 0.5350293207262529 40.7 0.0 -124.85174304840179 -8.551807696241017
-0.0123370873771107 55.30941450602181 0.6449359634080345 -2.2951875548886838 -1.1159390116826358 0.6019274671275352 40.7 0.0 -124.67031164734173 -7.533012168290032
-0.10468686983911679 35.67000781317715 1.2355048353649505 -2.3060775093870234 -1.0781382060856997 0.5142494117072306 40.7 0.0 -124.503898717279 -7.0813929073879205
-0.044124524644135965 44.40281121500591 1.343950178443451 -2.021653556599645 -0.9096702389029985 0.6627483234648417 40.7 0.0 -124.47673607819495 -7.050050162511996
-0.008666755904552792 32.626901708086066 1.1567673737233726 -2.1265408955833687 -1.0173156463221695 0.501362062917879 40.7 0.0 -124.395027400074 -7.1123736542591836
-0.005808763916609561 33.66906058209274 1.2284546375057537 -2.4086051281621796 -1.0808208070707974 0.6815935397890885 40.7 0.0 -124.3620375170634 -7.083877450597244
-0.12403374589358673 27.60997544529883 1.202246496841297 -2.4556688633193273 -1.1031664238010868 0.5795523651735228 40.7 0.0 -124.35010672948577 -7.093606866657344
-0.017174726391987916 31.61248410486996 1.108912291598364 -2.393494493997471 -1.1321527304491548 0.4420014491451867 40.7 0.0 -124.12965051348958 -7.134788759680328
-0.00579310353643292 43.169206209662335 0.9485693551829095 -2.459501016657761 -1.1484157213817645 0.6160647670873454 40.7 0.0 -124.0554713791896 -7.231634671051587
-0.05469210504497024 36.88351974305739 1.4270895947962352 -2.157923583810542 -0.9464482235126201 0.6955518128933702 40.7 0.0 -123.99354661634888 -7.034458378369555
-0.14530862460647964 27.2897590998933 1.4474000190740914 -2.102626361845586 -0.9250512600402281 0.5334103239901182 40.7 0.0 -123.79650857238126 -7.031729552294022
-0.03418555471511664 45.06873611021557 1.210588499062297 -2.283219552385712 -1.083484318429652 0.6003669014813363 40.7 0.0 -123.77603009653261 -7.090425119498121
-0.06530518316350009 33.689780969647295 1.1742419491768554 -2.3863674317786323 -1.0986510929901891 0.5143767361481248 40.7 0.0 -123.757467136235 -7.104876051988345
-0.14042264075011568 34.94423647231325 1.3949177360602265 -2.1715289702206952 -0.948359096736721 0.665693507035569 40.7 0.0 -123.70235133241763 -7.039643870508893
-0.16854057172719394 29.345867741724227 1.5004243645122315 -2.182716057472595 -0.9191962898657469 0.4964858686103404 40.7 0.0 -123.54131376555557 -7.026574981137873
0.0010119943556867739 35.74342261848538 1.1785879934504058 -2.2248164006098277 -1.047965501282527 0.6549867205705627 40.7 0.0 -123.41930953507166 -7.103067286540268
-0.0355832983618527 32.04320867820273 1.1433331981642754 -2.3901249891311016 -1.1415352325842507 0.4640950700893397 40.7 0.0 -123.38436844741813 -7.1183851219588075
-0.12515086446091916 27.746934361642598 1.330178994223218 -2.3755788397203017 -1.0752259107969362 0.6121314249381341 40.7 0.0 -123.3657720266211 -7.053328904172886
-0.0419434645513741 34.51654715593306 1.4978530859482824 -2.2936469697878503 -0.9124047340218853 0.605366517718507 40.7 0.0 -123.29837092305087 -7.026759548909881
-0.032259266037242496 43.51661298834139 1.4664864749863444 -2.137623334005495 -0.9247780191289483 0.5989014345030881 40.7 0.0 -123.27229926728782 -7.02954699502957
-0.08223892826223689 34.933414945101646 1.4898298366757603 -2.0372061412563345 -0.9236512606475724 0.61147177876668 40.7 0.0 -123.22452914913447 -7.027378202024465
-0.0398060856038418 43.123000859463474 1.138072388527816 -2.184518210844469 -1.0573965504459077 0.4960945026206842 40.7 0.0 -123.22265608267048 -7.120798442180021
-0.027725504426741265 33.97683576910395 1.1039857291330701 -2.427644878881357 -1.0605091474782367 0.5722357755129864 40.7 0.0 -123.19070525619605 -7.13725635760518
-0.024593443417885608 29.557406378718888 1.0491574220446112 -2.333904116736572 -1.1570796476403078 0.4962257578155602 40.7 0.0 -123.18114937678683 -7.166808891260915
-0.09025432632323493 36.63944358903946 1.266847556293308 -2.4186118228666147 -1.0279909510128546 0.522467918879607 40.7 0.0 -123.14732958475793 -7.07101853138729
-0.03978548990013597 30.811066026698228 1.1838793671531396 -2.5543812028610953 -1.1447791498918503 0.5373038626516324 40.7 0.0 -123.1374168444963 -7.100894940185361
-0.047986546953018516 38.33060459280341 1.1719013451744347 -2.359282065567764 -1.0930905637127857 0.48194497937721004 40.7 0.0 -123.13481301335513 -7.105859372437703
-0.06856322302199769 43.06771287346982 1.3799093177610806 -2.182271558966768 -0.9641509467377716 0.5826515817383199 40.7 0.0 -123.12239092542497 -7.042427483508863
-0.06528491549290205 38.16578358880793 1.4791215304141525 -2.245112412638722 -0.9631604381597048 0.49639537431043623 40.7 0.0 -123.03274906522644 -7.028304861543852
-0.15611036911158016 36.047075257366444 1.5070336313368606 -2.0549053855562307 -0.8931282799328883 0.5801352369657458 40.7 0.0 -123.02208095529087 -7.026131047837678
-0.08458636027519395 29.913731926214076 1.5078388223518733 -2.2943786752196367 -0.9569739063164837 0.6228138841909001 40.7 0.0 -122.99547980476021 -7.026079962472647
-0.12348157708437135 41.216150898829206 1.3468667773356287 -2.1649282994496883 -0.9438805510180823 0.5996684745713561 40.7 0.0 -122.95834384630706 -7.049381433799709
-0.01931721690432653 43.06241767359499 1.1633356512831357 -2.2245603384391703 -1.08833035935642 0.5188363720032637 40.7 0.0 -122.94858895296674 -7.109513045457033
0.006493042296761953 36.10575902943876 1.0154405512100577 -2.5125751664794023 -1.1974040726843382 0.5682504715203395 40.7 0.0 -122.9452400599733 -7.186953564244693
-0.03896063712992026 31.439986271620178 1.4087770633570014 -2.3787489315735746 -1.0384884087903892 0.4659910180245318 40.7 0.0 -122.86859967475682 -7.03727977718591
-0.04401899704437762 30.399130750802627 1.38858492895446 -2.2291151660206596 -0.9204406099145883 0.5668972597536336 40.7 0.0 -122.86243141584066 -7.040790005345617
-0.09916820376698254 33.039720280693786 1.3131559496760534 -2.0609095455319677 -0.9745281148901386 0.5962395688804497 40.7 0.0 -122.86231086138672 -7.057659919518647
-0.03382926018093957 38.23743440460223 1.202644118070794 -1.9767622700567833 -0.9753870540095453 0.5312110932898221 40.7 0.0 -122.85693852091549 -7.093453397853608
-0.05340628571124473 32.90354050428036 1.5064085278732045 -2.0881080293292387 -0.9226328255694676 0.6550155187721317 40.7 0.0 -122.84130810381755 -7.026171156403379
-0.1292610762281161 29.775514698465546 1.3911959968833736 -2.158046667917047 -0.9397452821438292 0.6395600111520263 40.7 0.0 -122.8337953227831 -7.040312426267199
-0.00599282395890266 36.52590340505087 1.234019080828616 -2.435139363035402 -1.0422063352301136 0.5832384765109082 40.7 0.0 -122.80355762260467 -7.081911853704275
-0.07802370269378445 32.37955233950176 1.267458556508651 -2.439986371913705 -1.107654148331042 0.5511327633250209 40.7 0.0 -122.80028260160248 -7.07082708505666
-0.033798809307123756 33.39692364570257 1.1818374637015767 -2.4243252791006578 -1.07566547083761 0.6646629235508248 40.7 0.0 -122.79757823651083 -7.101729357102938
